,TENet,ENet
PC354,-0.302935195,0.0
PC355,0.0,0.0
PC356,0.0,0.0
PC357,0.0,0.0
PC358,0.0,0.0
PC359,0.937182392,0.0
PC360,0.0,0.0
PC361,0.0,0.0
PC362,0.0,0.0
PC363,0.0,0.0
PC364,0.0,0.0
PC365,0.0,0.0
PC366,0.0,0.0
PC367,0.0,0.0
PC368,0.0,0.0
PC369,0.0,0.0
PC370,0.0,0.0
PC371,0.0,0.0
PC372,0.0,0.0
PC373,1.50469672173224,0.0
PC374,0.0,0.0
PC375,-1.134405657,0.0
PC376,-0.724156675,0.0
PC377,0.374790697497938,0.0
PC378,0.0,0.0
PC379,-0.96731896,0.0
PC380,0.0,0.0
PC381,0.0,0.0
PC382,0.0,0.0
PC383,0.0,0.0
PC384,0.0,0.0
PC385,-0.798403908,0.0
PC386,-0.292702438,0.0
PC387,0.332844983993936,0.0
PC388,0.0,0.0
PC389,0.0,0.0
PC390,0.0,0.0
PC391,0.0,0.0
PC392,0.0,0.0
PC393,-0.172294535,0.0
PC394,0.0,0.0
PC395,0.0,0.0
PC396,0.0,0.0
PC397,-0.638621034,0.0
PC398,0.0,0.0
PC399,0.0,0.0
PC400,0.0,0.0
PC401,0.0,0.0
PC402,0.948849286887282,0.0
PC403,0.0,0.0
PC404,0.0,0.0
PC405,1.29075134364085,0.0
PC406,0.0354718235768751,0.0
PC407,0.635233264725462,0.0
PC408,0.0,0.0
PC409,0.0,0.0
PC410,0.0,0.0
PC411,0.0,0.0
PC412,0.0,0.0
PC413,0.0,0.0
PC414,0.0,0.0
PC415,0.0,0.0
PC416,0.0,0.0
PC417,0.0,0.0
PC418,0.0,0.0
PC419,0.0,0.0
PC420,0.0,0.0
PC421,0.0,0.0
PC422,0.0,0.0
PC423,-0.419900838,0.0
PC424,-0.853519476,0.0
PC425,0.0,0.0
PC426,-0.818157538,0.0
PC427,0.0,0.0
PC428,0.0,0.0
PC429,0.0,0.0
PC430,0.0,0.0
PC431,0.0,0.0
PC432,0.0,0.0
PC433,-1.191301355,0.0
PC434,0.0,0.0
PC435,0.123975706381202,0.0
PC436,0.0,0.0
PC437,-1.459804431,0.0
PC438,-1.654840128,0.0
PC439,0.0,0.0
PC440,0.0,0.0
PC441,0.0,0.0
PC442,0.0,0.0
PC443,0.0,0.0
PC444,-0.200129126,0.0
PC445,-0.252540912,0.0
PC446,0.0,0.0
PC447,0.0,0.0
PC448,0.0,0.0
PC449,0.0,0.0
PC450,-0.674028964,0.0
PC451,0.0,0.0
PC452,0.0,0.0
PC453,-0.058407144,0.0
PC454,0.0,0.0
PC455,0.0,0.0
PC456,0.0,0.0
PC457,0.0,0.0
PC458,0.0,0.0
PC459,0.0,0.0
PC460,0.0,0.0
PC461,0.0,0.0
PC462,0.0,0.0
PC463,-0.149797493,0.0
PC464,0.0,0.0
PC465,0.0,0.0
PC466,-1.420878235,0.0
