,TENet,ENet
PC441,0.0,0.0069782958402588
PC442,0.0,-0.0038866861178783
PC443,0.0,-0.0116738168689756
PC444,0.0,-0.000273862647207
PC445,0.0,0.005396236641274
PC446,0.0,0.0025892175902282
PC447,0.0,-0.001503749927428
PC448,0.0,0.0040084345744698
PC449,0.0,0.0018390074465467
PC450,0.0,-0.0054417721659743
PC451,0.0,0.0025093030546838
PC452,0.0,0.0007297776051388
PC453,0.0,0.0025930289791978
PC454,0.0,0.0076800585828192
PC455,0.0,0.0053963658055238
PC456,0.0,-0.0157258905271707
PC457,0.0,0.0095720231382865
PC458,0.0,0.0026403727909266
PC459,0.0910116504127227,0.0045714015880555
PC460,0.0,0.0024078784348342
PC461,0.0,-0.0043858011142885
PC462,0.0,0.0157184990471295
PC463,0.0,0.0017909591694728
PC464,0.0,-0.0079210132307
PC465,0.0,-0.0143731569955529
PC466,0.0,4.861849557048427e-05
PC467,0.0,0.004503450870419
PC468,0.0,-0.0095424454590503
PC469,0.0,0.001785000640014
PC470,0.0,-0.0100593179944523
PC471,0.0,0.0062352516581522
PC472,0.0,-0.0046466765798987
PC473,0.0,0.0005078299957691
PC474,0.0,0.0063089036271707
PC475,0.0,0.0131582412702903
PC476,0.0,0.0053362758654688
PC477,0.0,-0.0081105268472839
PC478,0.0,0.0049505512393256
PC479,0.0,0.0255329004040585
PC480,0.0,0.0056906126271862
PC481,0.0,0.0098268832329658
PC482,0.0,-0.0139680911237519
PC483,-0.0136098737017606,0.0036295442655589
PC484,0.0,0.0129480910312628
PC485,0.0,-0.0075701947495553
PC486,0.0,0.0007395677434528
PC487,0.0,0.0052847985033325
PC488,0.0,-0.0028855832120889
PC489,0.0,0.0040558592305323
PC490,0.0,0.0015086835876765
PC491,0.0,0.0036973640377892
PC492,0.0,-0.0058871182073637
PC493,0.0,0.0093920894598206
PC494,0.0,0.001368754299667
PC495,0.0,-0.0174229173157178
PC496,0.0,-0.0036809029594403
PC497,0.0,0.0042038520388708
PC498,0.0,0.010402320726308
PC499,0.0,0.0091992849967871
PC500,0.0,0.0022172678754398
PC501,0.0,0.0053650995992802
PC502,0.0,-0.0069937200090728
PC503,0.0,0.0029200905176612
PC504,0.0,0.0020980650044701
PC505,0.0,-0.0065728054601592
PC506,0.0,-0.0015339832335873
PC507,0.0,-0.0087964104654518
PC508,0.0,-0.0014958959396067
PC509,0.0,-0.0060992770469847
PC510,0.0,-0.0073937749206494
PC511,0.0,-0.0053219010774842
PC512,0.0,0.0052513931599701
PC513,0.0,-0.004872120129076
PC514,0.0,0.0130811969340284
PC515,0.0,0.0053260192320215
PC516,0.0,-0.0059397896443554
PC517,0.0,-0.0059260336666247
PC518,0.0,-0.0169194263423018
PC519,0.0,0.0025456009789134
PC520,0.0,0.0085743650481807
PC521,0.0,-0.0093250046018433
PC522,0.0,-0.0009180756250801
PC523,0.0,0.0052700612915381
PC524,0.0,-0.0061089000000731
PC525,0.0,-0.0006144378741836
PC526,0.0,-0.0102975612305069
PC527,0.0,-0.0043017930869874
PC528,0.0,0.0033797993700983
PC529,0.0,-0.0100913541426899
PC530,0.0,0.0113364952789799
PC531,0.0,0.0004194291347184
PC532,0.0,-0.0058376105834194
PC533,0.0,0.0025576537029564
PC534,0.0,-0.0088666035669896
PC535,0.0,-0.0097056518764745
PC536,0.0,0.003131173317268
PC537,0.0,0.0002842858674932
PC538,0.0,0.0095818481476832
PC539,0.0,0.0061563087108443
PC540,0.0,-0.0037049076540923
PC541,0.0,0.006591570317222
PC542,0.0,0.004661424908855
PC543,0.0,0.0095986223971029
PC544,0.0,0.0112811442161166
PC545,0.0,0.0005997306013882
PC546,0.0,-0.0061504943665482
PC547,0.0,0.0133950811279386
PC548,0.0,0.0021985313709941
PC549,0.0,-0.0059966754492193
PC550,0.0,-0.0072438549965588
PC551,0.0,0.0021515820720596
PC552,0.0,0.0022354985886466
PC553,0.0,-0.0018931940340801
PC554,0.0,-0.002735470031859
PC555,0.0,-0.0031168137532496
PC556,0.0,-0.0062999254307268
PC557,0.0,0.0009031390806212
PC558,0.0,-0.0019982499303071
PC559,0.0,-0.0027769810144224
PC560,0.0,-0.0042246811610131
PC561,0.0,-0.0022986948970134
PC562,0.0,-0.0018663152460173
PC563,0.0,-0.0049660546990798
PC564,0.0804843427577162,0.0003535066979283
PC565,0.0,0.0043794941485516
PC566,0.0,-0.0003855286682424
PC567,0.0,-0.0090155885354127
PC568,0.0,-0.0042072431216966
PC569,0.0,0.0037838103645856
PC570,0.0,-0.000184385203991
PC571,0.0,-0.0122199850302708
PC572,0.0,-0.0054569017768809
PC573,0.0,0.0096739564755705
PC574,0.0,-0.0145928022193863
PC575,0.0,0.0115977201482704
PC576,0.0,0.0014340393743933
PC577,0.0,-0.0010314515397769
PC578,0.0,0.0027382441389025
PC579,0.0,-0.0017615210272108
PC580,0.0,0.0055973295883895
PC581,0.0,-0.0018678252814364
PC582,0.0,0.0045460053910068
PC583,0.0,0.0016557965366088
PC584,0.0,-0.0016903962251608
PC585,0.0,0.0054329784168026
PC586,0.0,-0.0099029331883788
PC587,0.0,-0.0015416907910816
PC588,0.0,-0.0124103049477763
PC589,0.0,-0.0059216128518504
PC590,0.0,0.0007319245169586
PC591,0.0,0.0054287817941897
PC592,0.0,0.0015424090023247
PC593,0.0,0.0100546641788312
PC594,0.0,-0.0028256574265665
PC595,0.0,-0.0023332307890834
PC596,0.0,0.0007886280996598
PC597,0.0,-0.0076581481488929
PC598,0.0,-0.0035752798372498
PC599,0.0,0.0112479120895047
PC600,0.0,-0.0001095367653979
PC601,0.0,0.0056550672462038
PC602,0.0,0.0107284168273292
PC603,0.0,0.0064844011379972
PC604,0.0,0.0133956690033303
PC605,0.0,-0.0050107122989784
PC606,0.0,0.005546249575442
PC607,0.0,-0.0013144854335014
PC608,0.0,0.0038886675286422
PC609,0.0,0.0078716848107983
PC610,0.0,-0.0022006771827614
PC611,0.0,-0.0030125751106683
PC612,0.0,-0.0037397308999992
PC613,0.0,0.0032515128531923
PC614,0.0,-0.014664173132825
PC615,0.0,-0.0027310514713452
PC616,0.0,-0.0009567458783073
PC617,0.0,-0.005352978771367
PC618,0.0,-0.0102450048919971
PC619,0.0,-0.0020276816142909
PC620,0.0,-0.0118791984066686
PC621,0.0,0.0074749288087246
PC622,0.0,0.0002282170105227
PC623,0.0,-0.0018498206291011
PC624,0.0,-0.0038986388267874
PC625,0.0,-0.0112535648360294
PC626,0.0,-0.0037320235005733
PC627,0.0,0.0037176162399795
PC628,0.0,0.0025374851099674
PC629,0.0,-0.0062433665026469
PC630,0.0,0.0019091748638511
PC631,0.0,0.0012283545068855
PC632,0.0,-0.0039200139507804
PC633,0.0,0.0010556702319228
PC634,0.0,0.0070903127323618
PC635,0.0,-0.0103424218043478
PC636,0.0,0.0105121388382308
PC637,0.0,0.0013632146300945
PC638,0.0,-0.0022115151434918
PC639,0.0,0.0077262730536197
PC640,0.0,-0.0021965389577615
PC641,0.0,-0.0005231546717142
PC642,0.0,0.0030039677277029
PC643,0.0,-0.0003816296127823
PC644,0.0,0.0038161587283435
PC645,0.0,-0.0135298956058332
PC646,0.0,0.0043216799434952
PC647,0.0,-0.0075137733284062
PC648,0.0,-0.0053242844096914
PC649,0.0,0.0092900280332449
PC650,0.0,-0.0097463062513913
PC651,0.0,-0.0078874641674358
PC652,0.0,0.0129961613096992
PC653,0.0,-0.0119822290235424
PC654,0.0,0.0060585345423489
PC655,0.0,-0.0010940522430463
PC656,0.0,0.0096309314893084
PC657,0.0,0.0097806487816539
PC658,0.0,0.0006721857662135
PC659,0.0,-0.0133131901674175
PC660,0.0,-0.0075896046538617
PC661,0.0,-0.0035730115206007
PC662,0.0,0.0083633022778672
PC663,0.0,-0.0008444956779713
PC664,0.0,0.0012801640064351
PC665,0.0,0.0078529456452278
PC666,0.0,-0.005244191988626
PC667,0.0,-0.0003301956594626
PC668,0.0,0.0116120440594721
PC669,0.0,0.0006710841256727
PC670,0.0,0.0052423798245277
PC671,0.0,-0.0012472445993445
PC672,0.0,-0.0023876508204195
PC673,0.0,-0.0097363595278125
PC674,0.0,-0.0141029688195767
PC675,0.0,-0.0066510693442427
PC676,0.0,-0.0033220246615363
PC677,0.0,-0.0028611420798244
PC678,0.0,0.0110854426221421
PC679,0.0,0.01827096041169
PC680,0.0,0.0212404910064871
PC681,0.0,0.0097215889872643
PC682,0.0,0.0060363215914958
PC683,0.0,0.00222230924193
PC684,0.0,-0.0026862243659634
PC685,0.0,0.0098629174917418
PC686,0.0,-0.0056059447121935
PC687,0.0,-0.0016900835038152
PC688,0.0,-0.0084546939283663
PC689,0.0,-0.0022652210110074
PC690,0.0,0.0057377700787928
PC691,0.0,-0.0075479063293831
PC692,0.0,-0.0121454177506333
PC693,0.0,-0.0026187891278628
PC694,0.0,-0.0070414362414991
PC695,0.0,-0.0023691819383714
PC696,0.0,-0.0008868665056884
PC697,0.0,-0.0084016360751549
PC698,0.0,-0.010032595875432
PC699,0.0,0.0022760543959191
PC700,0.0,0.0041157209775265
PC701,0.0,-0.017697128506664
PC702,0.0,-0.0058464809453937
PC703,0.0,0.0113502280343042
PC704,0.0,-0.0054504758459324
PC705,0.0,-0.0102144754251938
PC706,0.0,0.0043323276988101
PC707,0.0,0.0105110886925427
PC708,0.0,-0.0063986158119889
PC709,0.0,0.0022431335504941
PC710,0.0,-0.0040212798780897
PC711,0.0,0.0149349941571561
PC712,0.0,0.0049341755383416
PC713,0.0,-0.0030688722359383
PC714,0.0,0.0069216523697575
PC715,0.0,0.0025979671220033
PC716,0.0,0.001609324530543
PC717,0.0,0.006762234926019
PC718,0.0,0.0126602665590463
PC719,0.0,-0.0089259350087706
PC720,0.0,-0.0081234705469846
PC721,0.0,0.0027702482511938
PC722,0.0,0.0075732341173231
PC723,0.0,-0.0097989214310712
PC724,0.0,0.005411271780588
PC725,0.0,0.0007130818494204
PC726,0.0,0.0069068080827406
PC727,0.0,0.0078630394446581
PC728,0.0,-0.0016756491171919
PC729,0.0,-0.0109165135551175
PC730,0.0,-0.0041740106699141
PC731,0.0,-0.0004487443923302
PC732,0.0,-0.0058402359569717
PC733,0.0,-0.0029832604313827
PC734,0.0,-0.0053568316581908
PC735,0.0,0.0057528435925517
PC736,0.0,0.008215352916325
PC737,0.0,-0.0011138236739724
PC738,0.0,-0.0037821153977387
PC739,0.0,-0.0074148032803198
PC740,0.0,-0.0025176139376357
PC741,0.0,0.0042703380034096
PC742,0.0,0.0121284161495434
PC743,0.0,0.0057889620001492
PC744,0.0,0.0033386396191441
PC745,0.0,0.0034101304932534
PC746,0.0,0.0066022547632356
PC747,0.0,0.014608036178757
PC748,0.0,-0.0145176447574744
PC749,0.0,-0.0023099972415474
PC750,0.0,0.0027131782531731
PC751,0.0,-0.0062921868258078
PC752,0.0,0.0063901253257012
PC753,0.0,-0.0041044553208043
PC754,0.0,0.002867181280288
PC755,0.0,-0.0132990782881216
PC756,0.0,-0.0016282409448925
PC757,0.0,0.0001559632343911
PC758,0.0,-0.0103546182203602
PC759,0.0,-0.004660989714382
PC760,0.0,-0.0058048356939415
PC761,0.0,-0.0013716357448143
PC762,0.0,-0.0060078283027602
PC763,0.0,-0.0019995973778375
